MATNR;MATKL;SPART;MFRNR;MFRPN;MEINS;LVORM;MAKTX;WERKS
000000000000784917;0005;M4;;;ST;;JD 972 Chopper;1CD0
000000000000784286;0005;M0;;;ST;;JD BRAZO RETRO MINI BH8;1CD0
000000000000792958;0005;M4;;;ST;;JD Enfardadora 348 Sisal;1CD0
000000000000792959;0005;M4;;;ST;;JD Enfardadora 348 Alambre;1CD0
000000000000792971;0005;M4;;;ST;;JD Cortadora Rotativa MX7;1CD0
000000000000792973;0005;M4;;;ST;;JD Cortadora Rotativa MX8;1CD0
000000000000792975;0005;M4;;;ST;;JD Cortadora Rotativa MX10;1CD0
000000000000792981;0005;M4;;;ST;;JD 673 para 6D Mexico 2 Funciones;1CD0
000000000000792982;0005;M4;;;ST;;JD 673 para 6J Brasil 2 Funciones;1CD0
000000000000792983;0005;M4;;;ST;;JD D170 - Mower 54"" - 26 HP";1CD0
000000000000791672;0005;M0;;;ST;;JD RETRO 310SK 4X2;1CD0
000000000000792381;0005;M0;0000100005;;ST;;JD MINI 318D PALANCAS SVR;1CD0
000000000000793047;0005;M4;;;ST;;JD Sembradora Maiz 4 Hileras 1030;1CD0
000000000000793048;0005;M4;;;ST;;JD Sembradora Maiz 6 Hileras 1030;1CD0
000000000000791875;0005;M4;;;ST;;JD Rastra MX225 de 18 Discos;1CD0
000000000000792255;0005;M4;0000100005;;ST;;JD Arado de Vertederas 975 / 4;1CD0
000000000000792256;0005;M4;0000100005;;ST;;JD Arado 913 / 3;1CD0
000000000000839908;0005;M2;;;ST;;JD SKIDDER 640L;1CD0
000000000000843497;0005;M2;;;ST;;JD HARVESTER ORUGAS 859MH-SIN CABEZAL;1CD0
000000000000845268;0005;M4;;;ST;;JD 553 para serie India 5E Cabina 2 Func;1CD0
000000000000845325;0005;M0;;;ST;;JD BR RETRO 310K 4X4 A/A;1CD0
000000000000845330;0005;M0;;;ST;;JD RETRO 310K 4X4 A/A PALANCAS;1CD0
000000000000845474;0005;M0;;;ST;;JD MINI 318G PALANCAS;1CD0
000000000000844311;0005;M2;;;ST;;JD HARVESTER ORUGAS 859MH + HTH622B;1CD0
000000000000843078;0005;M2;;;ST;;JD 1470G HARVESTER RUEDAS 6X6 H290 HAAS;1CD0
000000000000844742;0005;M0;;;ST;;JD KIT PIN DISCONNECT CARGADORES;1CD0
000000000000848363;0005;M4;;;ST;;JD Pulverizadora 4730;1CD0
000000000000848574;0005;M0;;;ST;;JD BR CARGADOR 624K;1CD0
000000000000847951;0005;M0;;;ST;;JD EXCAV. 210G LC TERCERA FUNCION BR;1CD0
000000000000851085;0005;M4;;;ST;;JD Receptor satelital StarFire 6000;1CD0
000000000000849793;0005;M4;;;ST;;JD Small Wire Concave Kit;1CD0
000000000000849849;0005;M2;;;ST;;JD SWING MACHINE 2454D CON HTH622B;1CD0
000000000000849850;0005;M2;;;ST;;JD SWING MACHINE 2454D CON HTH623C;1CD0
000000000000851224;0005;M2;;;ST;;JD GRUA 337E SIN GARRA;1CD0
000000000000852071;0005;M2;;;ST;;JD HARVESTER ORUGAS 859MH + HTH623C;1CD0
000000000000855387;0005;M4;0000100005;57PF90894I;ST;;JD Steering System;1CD0
000000000000856810;0005;M0;;;ST;;JD MINI 324E;1CD0
000000000000855413;0005;M2;;;ST;;JD GRUA 337E CON GARRA;1CD0
000000000000855462;0005;M0;;;ST;;JD RETRO 310L 4X4 TIER III A/A PALANCAS;1CD0
000000000000856909;0005;M0;;;ST;;JD MOTO 672G;1CD0
000000000000857269;0005;M4;0000100005;57TCB10953I;ST;;JD Kit de Mulching para Ztrak 997R;1CD0
000000000000854987;0005;M4;0000100005;57PF90780I;ST;;JD Soporte para antena STF 6000 6J;1CD0
000000000000855602;0005;M4;;;ST;;JD cargadores 562 - 5082 mex 2 funciones;1CD0
000000000000856263;0005;M4;;;ST;;JD Base Inst. Series 5000 y 6000 Mex;1CD0
000000000000856264;0005;M4;;;ST;;JD Anclaje para Base inst. RTK Base Cont;1CD0
000000000000856474;0005;M4;0000100005;;ST;;JD MID-MOUNT COUPLERS 2FN;1CD0
000000000000856475;0005;M4;0000100005;;ST;;JD HOSES AND PRTS 2FN;1CD0
000000000000861094;0005;M0;;;ST;;JD MINI 314G;1CD0
000000000000862040;0005;M2;;;ST;;JD SWING MACHINE 2654G FORESTAL;1CD0
000000000000859495;0005;M0;;;ST;;JD MINI 312GR;1CD0
000000000000864009;0005;M4;0000100005;;ST;;JD cuchillas de D110 / D130;1CD0
000000000000864030;0005;M0;0000100005;;ST;;JD KIT F(X) HIDRAULICA RETROS 310K/L BR;1CD0
000000000000864141;0005;M4;;;ST;;JD AG Tractor 6195M TRA CAB ESPECIAL;1CD0
000000000000863457;0005;M2;;;ST;;JD FORWARDER 1510G  8x8 HUINCHE HAAS;1CD0
000000000000872673;0005;M4;;;ST;;JD Manguera 3° Función;1CD0
000000000000873669;0005;M1;;;ST;;JD FORWARDER DEERE 1510G  8x8;1CD0
000000000000874332;0005;M4;;;ST;;JD Kit para Pala 673 6J con Tercera Func;1CD0
000000000000874333;0005;M4;;;ST;;JD Kit para Pala 562 para 5090 dos func;1CD0
000000000000874335;0005;M4;;;ST;;JD Kit para Pala  553;1CD0
000000000000874908;0005;M4;;;ST;;JD cargador 553 - 5076EF;1CD0
000000000000872802;0005;M4;;;ST;;JD 563 para 6403 - 3 FUNC. - 4 CILINDROS;1CD0
000000000000872813;0005;M0;;;ST;;JD CARGADOR WL56;1CD0
000000000000872188;0005;M4;;APY16308;ST;;JD JOYSTICK MANDO 562 P 5082;1CD0
000000000000872189;0005;M4;;APY15692;ST;;JD JOYSTICK MANDO 562 P 5090;1CD0
000000000000873130;0005;M4;;;ST;;JD kit ams monitor-cable-antena-activSF1;1CD0
000000000000871844;0005;M0;;;ST;;JD AUGER PA40 (ACCESORIO p/RETRO);1CD0
000000000000878512;0005;M2;;;ST;;JD SWING MACHINE 2144G C / HTH616C;1CD0
000000000000879599;0005;M4;;;ST;;JD cargadores jd 741 3 FUN SUS;1CD0
000000000000877640;0005;M2;;;ST;;JD SWING MACHINE 2144G C / HTH622B;1CD0
000000000000877711;0005;M2;;;ST;;JD SWING MACHINE 2144G + GARRA SERCO 5/8;1CD0
000000000000877812;0005;M0;;;ST;;JD ACCESORIO BARRENO;1CD0
000000000000882097;0005;M4;;;ST;;JD CONTRAPESO DELANTERO 6J 07R545180I;1CD0
000000000000882318;0005;M4;;;ST;;JD SOPORTE LASTRE 07AL176563I;1CD0
000000000000882325;0005;M4;;;ST;;JD CAJA DE HERRAMIENTAS RE275591;1CD0
000000000000882329;0005;M4;;;ST;;JD ENGANCHE CATEGORIA BRAZOS AL32027;1CD0
000000000000882330;0005;M4;;;ST;;JD ENGANCHE CATEGORIA TERCER PUNTO L4205;1CD0
000000000000882334;0005;M4;;;ST;;JD TAPA BARRO AL180326;1CD0
000000000000882789;0005;M4;;;ST;;JD CARDAN DE 6115J N/P AL173864;1CD0
000000000000883546;0005;M0;;;ST;;JD BULLD 850J BR;1CD0
000000000000888113;0005;M4;;;ST;;JD E130 - Mower 42"" - 22 HP";1CD0
000000000000888114;0005;M4;;;ST;;JD E140 - Mower 48"" - 22 HP";1CD0
000000000000888115;0005;M4;;;ST;;JD E180 - Mower 54"" - 25 HP";1CD0
000000000000887862;0005;M2;;;ST;;JD HARVESTER ORUGAS 959MH CON FL100;1CD0
000000000000888248;0005;M4;;;ST;;JD E110 - Mower 42"" - 19 HP";1CD0
000000000000888304;0005;M4;;;ST;;JD Contrapesos delantero MODELO  5G;1CD0
000000000000888305;0005;M4;0000100005;57PS6415006I;ST;;JD Creeper de 6115J N/P AL165470;1CD0
000000000000884689;0005;M4;;;ST;;JD ENGANCHE K80;1CD0
000000000000886136;0005;M4;;;ST;;JD carg 673 - 6d 3 fun sus/prot s/balde;1CD0
000000000000884046;0005;M4;;;ST;;JD CREEPER 6415 PARA POWERQUAD;1CD0
000000000000884048;0005;M4;;;ST;;JD EJE CARDAN;1CD0
000000000000886286;0005;M4;;;ST;;JD carg jd 673-6J 3func 4 cil sin balde;1CD0
000000000000886288;0005;M2;;;ST;;JD 1910G FORWARDER RUEDAS 8X8;1CD0
000000000000884163;0005;M4;0000100005;57BW15774I;ST;;JD JOYSTICK Y CAJA DE VÁLVULAS DE 3 FUNC;1CD0
000000000000884164;0005;M4;0000100005;;ST;;JD MANGUERAS Y NIPLES;1CD0
000000000000884165;0005;M4;0000100005;57BW15778I;ST;;JD mangueras y niples de tercera función;1CD0
000000000000884166;0005;M4;0000100005;57BW15490I;ST;;JD CAÑERÍAS DE TERCERA FUNCIÓN;1CD0
000000000000884167;0005;M4;0000100005;57BW15554I;ST;;JD ACOPLES CENTRALES TERCERA FUNCIÓN;1CD0
000000000000884168;0005;M4;0000100005;57SJ12058I;ST;;JD SOPORTE CAJA DE VÁLVULAS;1CD0
000000000000884169;0005;M4;0000100005;5738H5192I;ST;;JD conexión;1CD0
000000000000884170;0005;M4;0000100005;57RE178426I;ST;;JD MANGUERA 1;1CD0
000000000000884201;0005;M4;0000100005;57RE178427I;ST;;JD MANGUERA 2;1CD0
000000000000884202;0005;M4;0000100005;57RE178425I;ST;;JD MANGUERA 3;1CD0
