MATNR;MATKL;SPART;MFRNR;MFRPN;MEINS;LVORM;MAKTX;WERKS
000000000000912513;0103;R0;0000100157;0721H1463I;ST;;TORNILLO;1CD0
000000000000912517;0103;R0;0000100157;07R71398I;ST;;TORNILLO;1CD0
000000000000913486;0103;R0;0000100157;07L220055I;ST;;TORNILLO;1CD0
000000000000913487;0103;R0;0000100157;07L220217I;ST;;TORNILLO;1CD0
000000000000913529;0103;R0;0000100157;07LG691108I;ST;;TORNILLO;1CD0
000000000000912855;0103;R0;0000100157;07R41035I;ST;;TORNILLO;1CD0
000000000000912856;0103;R0;0000100157;0721H1318I;ST;;TORNILLO;1CD0
000000000000912860;0103;R0;0000100157;0719H3336I;ST;;TORNILLO;1CD0
000000000000912862;0103;R0;0000100157;0719H3708I;ST;;TORNILLO;1CD0
000000000000912879;0103;R0;0000100157;07R56957I;ST;;TORNILLO;1CD0
000000000000912882;0103;R0;0000100157;07R104628I;ST;;TORNILLO;1CD0
000000000000917306;0103;R0;0000100157;07FH327666I;ST;;TORNILLO;1CD0
000000000000919201;0103;R0;0000100157;07L207631I;ST;;TORNILLO;1CD0
000000000000919348;0005;R0;0000100005;07SU24239I;ST;;TORNILLO;1CD0
000000000000920374;0103;R0;0000100157;07TCU17033I;ST;;TORNILLO;1CD0
000000000000919799;0103;R0;0000100157;07L102363I;ST;;TORNILLO;1CD0
000000000000919800;0103;R0;0000100157;07L79362I;ST;;TORNILLO;1CD0
000000000000919824;0103;R0;0000100157;07L102263I;ST;;TORNILLO;1CD0
000000000000920140;0103;R0;0000100157;0719M9447I;ST;;TORNILLO;1CD0
000000000000916298;0103;R0;0000100157;0719M9727I;ST;;TORNILLO;1CD0
000000000000916299;0103;R0;0000100157;0719M9729I;ST;;TORNILLO;1CD0
000000000000918353;0103;R0;0000100157;07F058956I;ST;;TORNILLO;1CD0
000000000000916481;0103;R0;0000100157;07L79006I;ST;;TORNILLO;1CD0
000000000000917752;0103;R0;0000100157;07KK38991I;ST;;TORNILLO;1CD0
000000000000917768;0103;R0;0000100157;07KK38941I;ST;;TORNILLO;1CD0
000000000000917840;0103;R0;0000100157;07LVU801521I;ST;;TORNILLO;1CD0
000000000000918554;0103;R0;0000100157;07T362440I;ST;;TORNILLO;1CD0
000000000000921377;0103;R0;0000100157;07L213934I;ST;;TORNILLO;1CD0
000000000000924118;0103;R0;0000100157;07L113527I;ST;;TORNILLO;1CD0
000000000000924833;0103;R0;0000100157;0719M9390I;ST;;TORNILLO;1CD0
000000000000924444;0103;R0;0000100157;07M151349I;ST;;TORNILLO;1CD0
000000000000924708;0103;R0;0000100157;0703M7467I;ST;;TORNILLO;1CD0
000000000000924460;0005;R0;0000100005;07UC29085I;ST;;TORNILLO;1CD0
000000000000924461;0103;R0;0000100157;07VG12268I;ST;;TORNILLO;1CD0
000000000000924462;0103;R0;0000100157;07AUC18602I;ST;;TORNILLO;1CD0
000000000000921403;0103;R0;0000100157;07M138503I;ST;;TORNILLO;1CD0
000000000000921559;0103;R0;0000100157;07ER0099454296I;ST;;TORNILLO;1CD0
000000000000920832;0103;R0;0000100157;07R53495I;ST;;TORNILLO;1CD0
000000000000923005;0103;R0;0000100157;07M168846I;ST;;TORNILLO;1CD0
000000000000922462;0103;R0;0000100157;074378639I;ST;;TORNILLO;1CD0
000000000000923163;0103;R0;0000100157;07M110977I;ST;;TORNILLO;1CD0
000000000000921095;0103;R0;0000100157;07F025325I;ST;;TORNILLO;1CD0
000000000000923228;0103;R0;0000100157;0719H3772I;ST;;TORNILLO;1CD0
000000000000923237;0103;R0;0000100157;070875605I;ST;;TORNILLO;1CD0
000000000000925650;0103;R0;0000100157;07ER021065I;ST;;TORNILLO;1CD0
000000000000926956;0103;R0;0000100157;07MIU14366I;ST;;TORNILLO;1CD0
000000000000925673;0103;R0;0000100157;07ER021127I;ST;;TORNILLO;1CD0
000000000000925675;0103;R0;0000100157;07ER020966I;ST;;TORNILLO;1CD0
000000000000927076;0103;R0;0000100157;07L211949I;ST;;TORNILLO;1CD0
000000000000927933;0103;R0;0000100157;0719M8737I;ST;;TORNILLO;1CD0
000000000000928108;0103;R0;0000100157;07ER204466I;ST;;TORNILLO;1CD0
000000000000928251;0103;R0;0000100157;07M95848I;ST;;TORNILLO;1CD0
000000000000929002;0103;R0;0000100157;07ER020705I;ST;;TORNILLO;1CD0
000000000000929166;0103;R0;0000100157;07H163787I;ST;;TORNILLO;1CD0
