VBELN;POSNR;FKART;FKDAT;RFBSK;FKSTO;VBTYP;ERDAT;MATNR;NETWR;MWSBP;MATKL;CHARG;SELLER_ID;SELLER_NOMBRE;SELLER_APELLIDO
0900417705;000230;ZDRP;20260228;C;;P;20260302;000000000000766630;364.23;69.20;0013;;;;
0900417705;000240;ZDRP;20260228;C;;P;20260302;000000000000766661;141.63;26.91;0013;;;;
0900417705;000250;ZDRP;20260228;C;;P;20260302;000000000000917637;984.83;187.12;0013;;;;
0900417705;000260;ZDRP;20260228;C;;P;20260302;000000000000111128;1171.64;222.61;0013;;;;
0900417705;000270;ZDRP;20260228;C;;P;20260302;000000000000110444;394.53;74.96;0013;;;;
0900417705;000280;ZDRP;20260228;C;;P;20260302;000000000000731719;159.63;30.33;0013;;;;
0900417705;000290;ZDRP;20260228;C;;P;20260302;000000000000110433;1724.87;327.73;0013;;;;
0900417705;000300;ZDRP;20260228;C;;P;20260302;000000000000894326;175.29;33.31;0013;;;;
0900417705;000310;ZDRP;20260228;C;;P;20260302;000000000001007526;3594.97;683.04;0013;;;;
0900417705;000320;ZDRP;20260228;C;;P;20260302;000000000000936741;3016.08;573.06;0013;;;;
0900417705;000330;ZDRP;20260228;C;;P;20260302;000000000000871209;6682.62;1269.70;0013;;;;
0900417705;000340;ZDRP;20260228;C;;P;20260302;000000000000872221;1254.50;238.36;0013;;;;
0900417705;000350;ZDRP;20260228;C;;P;20260302;000000000000110420;2754.99;523.45;0013;;;;
0900417705;000360;ZDRP;20260228;C;;P;20260302;000000000000701110;135.07;25.66;0013;;;;
0900417705;000370;ZDRP;20260228;C;;P;20260302;000000000000713515;139.56;26.52;0013;;;;
0900417705;000380;ZDRP;20260228;C;;P;20260302;000000000000865928;789.46;150.00;0013;;;;
0900417705;000390;ZDRP;20260228;C;;P;20260302;000000000000947517;538.89;102.39;0013;;;;
0900417705;000400;ZDRP;20260228;C;;P;20260302;000000000000734604;131.66;25.02;0013;;;;
0900417705;000410;ZDRP;20260228;C;;P;20260302;000000000000731726;427.69;81.26;0013;;;;
0900417705;000420;ZDRP;20260228;C;;P;20260302;000000000000871736;217.08;41.25;0013;;;;
0900417705;000430;ZDRP;20260228;C;;P;20260302;000000000000701121;2601.14;494.22;0013;;;;
0900417705;000440;ZDRP;20260228;C;;P;20260302;000000000001006152;1546.01;293.74;0013;;;;
0900417705;000450;ZDRP;20260228;C;;P;20260302;000000000000871733;828.39;157.39;0013;;;;
0900417705;000460;ZDRP;20260228;C;;P;20260302;000000000000730391;1180.39;224.27;0013;;;;
0900417705;000480;ZDRP;20260228;C;;P;20260302;000000000000856101;197.60;37.54;0027;;;;
0900417705;000490;ZDRP;20260228;C;;P;20260302;000000000001062742;7107.30;1350.39;0013;;;;
0900417705;000500;ZDRP;20260228;C;;P;20260302;DEDUCIBLE;-33313.94;-6329.65;0085;;;;
0900417705;000510;ZDRP;20260228;C;;P;20260302;000000000001020065;314.50;59.76;0013;;;;
0900417705;000520;ZDRP;20260228;C;;P;20260302;VARIOS_CAM;284.28;54.01;0027;;;;
0900417705;000530;ZDRP;20260228;C;;P;20260302;CS38;5110.56;971.01;0082;;;;
0900417705;000540;ZDRP;20260228;C;;P;20260302;000000000000600044;1523.42;289.45;0083;;;;
0900417705;000550;ZDRP;20260228;C;;P;20260302;VARIOS_CAM;408.62;77.64;0027;;;;
0900417705;000560;ZDRP;20260228;C;;P;20260302;SERV.EXTERNO;4563.00;866.97;0086;;;;
0900417706;000010;ZDRP;20260228;C;;P;20260302;DEDUCIBLE;33313.94;6329.65;0085;;;;
0900417707;000010;ZSNB;20260302;C;;M;20260302;000000000000823989;10062.96;1911.96;0016;;;;
0900417707;000020;ZSNB;20260302;C;;M;20260302;000000000000850197;7078.32;1344.88;0016;;;;
0900417707;000030;ZSNB;20260302;C;;M;20260302;000000000000842870;6135.52;1165.75;0016;;;;
0900417707;000040;ZSNB;20260302;C;;M;20260302;000000000000873676;7166.08;1361.56;0016;;;;
0900417708;000010;ZSNB;20260302;C;;M;20260302;000000000000209544;1917.00;364.23;0309;;;;
0900417709;000010;ZSNB;20260302;C;;M;20260302;000000000001021873;2448.00;465.12;0292;;;;
0900417710;000002;ZBEN;20260302;C;;M;20260302;000000000000000397;33.53;6.37;0024;;;;
0900417710;000012;ZBEN;20260302;C;;M;20260302;000000000000140729;288.92;54.90;0003;;;;
