ITEM_TYPE;BUKRS;KUNNR;BELNR;GJAHR;BLART;BUDAT;BLDAT;WAERS;DMBTR;WRBTR;SHKZG;ZFBDT;ZBD1T;VBELN;ZUONR;SGTXT;AUGDT;AUGBL
CLEARED;1000;96689310-9;0000266475;2024;SA;20240131;20240131;CLP;2312.54;2312.54;S;20240131;0;;;;20240131;0000266475
CLEARED;1000;96689310-9;0000266477;2024;SA;20240131;20240131;CLP;1268.85;1268.85;S;20240131;0;;;;20240131;0000266477
CLEARED;1000;96689310-9;0000266479;2024;SA;20240131;20240131;CLP;552.27;552.27;S;20240131;0;;;;20240131;0000266479
CLEARED;1000;96689310-9;0000266480;2024;SA;20240131;20240131;CLP;1748.30;1748.30;S;20240131;0;;;;20240131;0000266480
CLEARED;1000;96689310-9;0000266484;2024;SA;20240131;20240131;CLP;2676.54;2676.54;S;20240131;0;;;;20240131;0000266484
CLEARED;1000;96689310-9;0000266485;2024;SA;20240131;20240131;CLP;227.11;227.11;S;20240131;0;;;;20240131;0000266485
CLEARED;1000;96689310-9;0000266487;2024;SA;20240131;20240131;CLP;197.80;197.80;S;20240131;0;;;;20240131;0000266487
CLEARED;1000;96689310-9;0000266491;2024;SA;20240131;20240131;CLP;310.97;310.97;S;20240131;0;;;;20240131;0000266491
CLEARED;1000;96689310-9;0000266494;2024;SA;20240131;20240131;CLP;733.75;733.75;S;20240131;0;;;;20240131;0000266494
CLEARED;1000;96689310-9;0000266498;2024;SA;20240131;20240131;CLP;348.30;348.30;S;20240131;0;;;;20240131;0000266498
CLEARED;1000;96689310-9;0000266502;2024;SA;20240131;20240131;CLP;289.80;289.80;S;20240131;0;;;;20240131;0000266502
CLEARED;1000;96689310-9;0000266504;2024;SA;20240131;20240131;CLP;2937.71;2937.71;S;20240131;0;;;;20240131;0000266504
CLEARED;1000;96689310-9;0000266505;2024;SA;20240131;20240131;CLP;2000.00;2000.00;S;20240131;0;;;;20240131;0000266505
CLEARED;1000;96689310-9;0000266506;2024;SA;20240131;20240131;CLP;3946.74;3946.74;S;20240131;0;;;;20240131;0000266506
CLEARED;1000;96689310-9;0000266509;2024;SA;20240131;20240131;CLP;556.69;556.69;S;20240131;0;;;;20240131;0000266509
CLEARED;1000;96689310-9;0000266512;2024;SA;20240131;20240131;CLP;3050.01;3050.01;S;20240131;0;;;;20240131;0000266512
CLEARED;1000;96689310-9;0000266516;2024;SA;20240131;20240131;CLP;7600.01;7600.01;S;20240131;0;;;;20240131;0000266516
CLEARED;1000;96689310-9;0000266517;2024;SA;20240131;20240131;CLP;108.18;108.18;S;20240131;0;;;;20240131;0000266517
CLEARED;1000;96689310-9;0000266519;2024;SA;20240131;20240131;CLP;118.81;118.81;S;20240131;0;;;;20240131;0000266519
CLEARED;1000;96689310-9;0000266521;2024;SA;20240131;20240131;CLP;2261.00;2261.00;S;20240131;0;;;;20240131;0000266521
CLEARED;1000;96689310-9;0000266523;2024;SA;20240131;20240131;CLP;3345.17;3345.17;S;20240131;0;;;;20240131;0000266523
CLEARED;1000;96689310-9;0000266524;2024;SA;20240131;20240131;CLP;121.52;121.52;S;20240131;0;;;;20240131;0000266524
CLEARED;1000;96689310-9;0000266527;2024;SA;20240131;20240131;CLP;437.25;437.25;S;20240131;0;;;;20240131;0000266527
CLEARED;1000;96689310-9;0000266530;2024;SA;20240131;20240131;CLP;1294.77;1294.77;S;20240131;0;;;;20240131;0000266530
CLEARED;1000;96689310-9;0000266533;2024;SA;20240131;20240131;CLP;1946.73;1946.73;S;20240131;0;;;;20240131;0000266533
CLEARED;1000;96689310-9;0000266535;2024;SA;20240131;20240131;CLP;767.88;767.88;S;20240131;0;;;;20240131;0000266535
CLEARED;1000;96689310-9;0000266536;2024;SA;20240131;20240131;CLP;1575.71;1575.71;S;20240131;0;;;;20240131;0000266536
CLEARED;1000;96689310-9;0000266537;2024;SA;20240131;20240131;CLP;142.80;142.80;S;20240131;0;;;;20240131;0000266537
CLEARED;1000;96689310-9;0000266538;2024;SA;20240131;20240131;CLP;1207.78;1207.78;S;20240131;0;;;;20240131;0000266538
CLEARED;1000;96689310-9;0000266542;2024;SA;20240131;20240131;CLP;489.40;489.40;S;20240131;0;;;;20240131;0000266542
CLEARED;1000;96689310-9;0000266544;2024;SA;20240131;20240131;CLP;511.70;511.70;S;20240131;0;;;;20240131;0000266544
CLEARED;1000;96689310-9;0000266546;2024;SA;20240131;20240131;CLP;4350.45;4350.45;S;20240131;0;;;;20240131;0000266546
CLEARED;1000;96689310-9;0000266548;2024;SA;20240131;20240131;CLP;1015.02;1015.02;S;20240131;0;;;;20240131;0000266548
CLEARED;1000;96689310-9;0000266555;2024;SA;20240131;20240131;CLP;2165.70;2165.70;S;20240131;0;;;;20240131;0000266555
CLEARED;1000;96689310-9;0000266564;2024;SA;20240131;20240131;CLP;1954.06;1954.06;S;20240131;0;;;;20240131;0000266564
CLEARED;1000;96689310-9;0000266566;2024;SA;20240131;20240131;CLP;1407.22;1407.22;S;20240131;0;;;;20240131;0000266566
CLEARED;1000;96689310-9;0000266569;2024;SA;20240131;20240131;CLP;7587.27;7587.27;S;20240131;0;;;;20240131;0000266569
CLEARED;1000;96689310-9;0000266572;2024;SA;20240131;20240131;CLP;5369.92;5369.92;S;20240131;0;;;;20240131;0000266572
CLEARED;1000;96689310-9;0000266576;2024;SA;20240131;20240131;CLP;1531.86;1531.86;S;20240131;0;;;;20240131;0000266576
CLEARED;1000;96689310-9;0000266582;2024;SA;20240131;20240131;CLP;1885.47;1885.47;S;20240131;0;;;;20240131;0000266582
CLEARED;1000;96689310-9;0000266594;2024;SA;20240131;20240131;CLP;2644.98;2644.98;S;20240131;0;;;;20240131;0000266594
CLEARED;1000;96689310-9;0000266596;2024;SA;20240131;20240131;CLP;128.15;128.15;S;20240131;0;;;;20240131;0000266596
CLEARED;1000;96689310-9;0000266601;2024;SA;20240131;20240131;CLP;110.08;110.08;S;20240131;0;;;;20240131;0000266601
CLEARED;1000;96689310-9;0000266602;2024;SA;20240131;20240131;CLP;652.62;652.62;S;20240131;0;;;;20240131;0000266602
CLEARED;1000;96689310-9;0000266604;2024;SA;20240131;20240131;CLP;5338.41;5338.41;S;20240131;0;;;;20240131;0000266604
CLEARED;1000;96689310-9;0000266609;2024;SA;20240131;20240131;CLP;348.00;348.00;S;20240131;0;;;;20240131;0000266609
CLEARED;1000;96689310-9;0000266614;2024;SA;20240131;20240131;CLP;239.83;239.83;S;20240131;0;;;;20240131;0000266614
